RowID;OrderID;OrderDate;ShipDate;ShipMode;CustomerID;CustomerName;Segment;Country;City;State;PostalCode;Region;ProductID;Category;Sub-Category;ProductName;Sales;Quantity;Discount;Profit;DeliveryDays;
1;CA-2016-152156;8/11/2016;11/11/2016;SecondClass;CG-12520;ClaireGute;Consumer;UnitedStates;Henderson;Kentucky;42420;South;FUR-BO-10001798;Furniture;Bookcases;BushSomersetCollectionBookcase;261,96;2;0%;419136;3;
2;CA-2016-152156;8/11/2016;11/11/2016;SecondClass;CG-12520;ClaireGute;Consumer;UnitedStates;Henderson;Kentucky;42420;South;FUR-CH-10000454;Furniture;Chairs;HonDeluxeFabricUpholsteredStackingChairs,RoundedBack;731,94;3;0;219582;3;3,958174905
3;CA-2016-138688;12/6/2016;16/6/2016;SecondClass;DV-13045;DarrinVanHuff;Corporate;UnitedStates;LosAngeles;California;90036;West;OFF-LA-10000240;OfficeSupplies;Labels;Self-AdhesiveAddressLabelsforTypewritersbyUniversal;14,62;2;0;68714;4;
4;US-2015-108966;11/10/2015;18/10/2015;StandardClass;SO-20335;SeanO'Donnell;Consumer;UnitedStates;FortLauderdale;Florida;33311;South;FUR-TA-10000577;Furniture;Tables;BretfordCR4500SeriesSlimRectangularTable;9575775;5;0,45;-383031;7;
5;US-2015-108966;11/10/2015;18/10/2015;StandardClass;SO-20335;SeanO'Donnell;Consumer;UnitedStates;FortLauderdale;Florida;33311;South;OFF-ST-10000760;OfficeSupplies;Storage;EldonFold'NRollCartSystem;22368;2;0,2;25164;7;
6;CA-2014-115812;9/6/2014;14/6/2014;StandardClass;BH-11710;BrosinaHoffman;Consumer;UnitedStates;LosAngeles;California;90032;West;FUR-FU-10001487;Furniture;Furnishings;EldonExpressionsWoodandPlasticDeskAccessories,CherryWood;48,86;7;0;141694;5;
7;CA-2014-115812;9/6/2014;14/6/2014;StandardClass;BH-11710;BrosinaHoffman;Consumer;UnitedStates;LosAngeles;California;90032;West;OFF-AR-10002833;OfficeSupplies;Art;Newell322;7,28;4;0;19656;5;
8;CA-2014-115812;9/6/2014;14/6/2014;StandardClass;BH-11710;BrosinaHoffman;Consumer;UnitedStates;LosAngeles;California;90032;West;TEC-PH-10002275;Technology;Phones;Mitel5320IPPhoneVoIPphone;907152;6;0,2;907152;5;
9;CA-2014-115812;9/6/2014;14/6/2014;StandardClass;BH-11710;BrosinaHoffman;Consumer;UnitedStates;LosAngeles;California;90032;West;OFF-BI-10003910;OfficeSupplies;Binders;DXLAngle-ViewBinderswithLockingRingsbySamsill;18504;3;0,2;57825;5;
10;CA-2014-115812;9/6/2014;14/6/2014;StandardClass;BH-11710;BrosinaHoffman;Consumer;UnitedStates;LosAngeles;California;90032;West;OFF-AP-10002892;OfficeSupplies;Appliances;BelkinF5C206VTEL6OutletSurge;114,9;5;0;34,47;5;
11;CA-2014-115812;9/6/2014;14/6/2014;StandardClass;BH-11710;BrosinaHoffman;Consumer;UnitedStates;LosAngeles;California;90032;West;FUR-TA-10001539;Furniture;Tables;ChromcraftRectangularConferenceTables;1706184;9;0,2;853092;5;
12;CA-2014-115812;9/6/2014;14/6/2014;StandardClass;BH-11710;BrosinaHoffman;Consumer;UnitedStates;LosAngeles;California;90032;West;TEC-PH-10002033;Technology;Phones;Konftel250Conferenceï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;911424;4;0,2;683568;5;
13;CA-2017-114412;15/4/2017;20/4/2017;StandardClass;AA-10480;AndrewAllen;Consumer;UnitedStates;Concord;NorthCarolina;28027;South;OFF-PA-10002365;OfficeSupplies;Paper;Xerox1967;15552;3;0,2;54432;5;
14;CA-2016-161389;5/12/2016;10/12/2016;StandardClass;IM-15070;IreneMaddox;Consumer;UnitedStates;Seattle;Washington;98103;West;OFF-BI-10003656;OfficeSupplies;Binders;FellowesPB200PlasticCombBindingMachine;407976;3;0,2;1325922;5;
15;US-2015-118983;22/11/2015;26/11/2015;StandardClass;HP-14815;HaroldPawlan;HomeOffice;UnitedStates;FortWorth;Texas;76106;Central;OFF-AP-10002311;OfficeSupplies;Appliances;HolmesReplacementFilterforHEPAAirCleaner,VeryLargeRoom,HEPAFilter;68,81;5;0,8;-123858;4;
16;US-2015-118983;22/11/2015;26/11/2015;StandardClass;HP-14815;HaroldPawlan;HomeOffice;UnitedStates;FortWorth;Texas;76106;Central;OFF-BI-10000756;OfficeSupplies;Binders;StorexDuraTechRecycledPlasticFrostedBinders;2544;3;0,8;-3816;4;
17;CA-2014-105893;11/11/2014;18/11/2014;StandardClass;PK-19075;PeteKriz;Consumer;UnitedStates;Madison;Wisconsin;53711;Central;OFF-ST-10004186;OfficeSupplies;Storage;"Stur-D-StorShelving,Vertical5-Shelf:72""Hx36""Wx181/2""D";665,88;6;0;133176;7;
18;CA-2014-167164;13/5/2014;15/5/2014;SecondClass;AG-10270;AlejandroGrove;Consumer;UnitedStates;WestJordan;Utah;84084;West;OFF-ST-10000107;OfficeSupplies;Storage;FellowesSuperStor/Drawer;55,5;2;0;9,99;2;
